id,name,category,price,rating,country,created_date,rooms_available,reviews_count
1445,Smith-Jenkins,Boutique,1807.56,1.2,Japan,2025-10-14,308.0,833
1446,Baker Group,Luxury,1029.8,3.4,USA,2026-02-14,361.0,3646
1447,Heath Ltd,Budget,830.06,4.7,Australia,2025-03-05,358.0,681
1448,Watkins Group,Hostel,892.34,4.2,usa,2024-05-12,6.0,1293
1449,Alexander Ltd,Luxury,248.66,3.9,France,2025-04-27,409.0,4818
1450,"Tucker, Harris and Cunningham",Luxury,116.34,1.4,india,2023-10-24,238.0,4873
1451,Rollins-Graves,Boutique,1298.51,3.7,UK,21/02/1999,148.0,1771
1452,"Washington, Mitchell and White",,263.48,1.5,USA,2023-11-01,260.0,2328
1453,"Jones, Lester and Bennett",Luxury,1981.26,3.5,France,2025-02-01,390.0,1995
1454,"Mcclain, Smith and Martinez",Luxury,169.2,4.9,usa,2024-01-25,,157
1455,Williams-Anderson,Boutique,1107.07,2.9,USA,2023-03-22,246.0,4103
1456,"Graham, Alvarez and Rodriguez",Budget,1153.44,3.3,Australia,2024-01-20,,3216
1457,"Powell, Curry and Roberts",Budget,45.86,2.4,USA,2023-07-09,195.0,2564
1458,Warren Inc,Luxury,531.9,3.5,usa,2025-04-23,405.0,1813
1459,Williams and Sons,Hostel,1155.5,4.6,USA,2024-05-03,,4431
1460,Anderson Ltd,Luxury,1808.62,2.6,Germany,2025-06-21,4.0,2306
1461,Ellis-Dixon,Resort,1756.62,4.2,FRANCE,2026-02-11,441.0,1524
1462,Medina and Sons,Resort,808.63,4.4,UAE,2024-07-07,409.0,69
1463,Mendoza-Sharp,Boutique,533.99,4.6,usa,2025-09-01,59.0,744
1464,"Rodriguez, Walter and Glover",Boutique,,3.8,France,2025-10-01,372.0,1400
1465,Horton-Campbell,Luxury,1822.43,3.7,usa,2025-05-31,58.0,4121
1466,"Saunders, Santos and Miller",Boutique,1189.43,4.0,india,2025-01-27,196.0,4554
1467,Ramirez-Schneider,Business,973.14,3.8,Germany,2025-10-07,312.0,1266
1468,Hall LLC,Boutique,1924.05,1.2,UK,2024-01-18,370.0,3905
1469,Flores Inc,Boutique,281.1,4.9,France,2025-09-13,130.0,726
1470,Washington Ltd,Budget,1851.37,4.0,UK,2025-01-01,185.0,4729
1471,Smith-Watts,luxury,1477.53,3.5,USA,2024-03-25,77.0,1794
1472,Benson Ltd,Business,280.57,2.0,Germany,11/06/2001,67.0,4123
1473,Porter LLC,BUDGET,35.69,1.2,usa,2025-03-08,234.0,3765
1474,Rodriguez-Hopkins,Boutique,1542.77,3.6,usa,2024-12-07,417.0,606
1475,"Richards, Nicholson and Young",Budget,1912.9,4.8,USA,2023-11-21,380.0,4433
1476,Wagner Ltd,Budget,189.88,4.8,UAE,2024-03-14,188.0,3324
1477,Williams PLC,Resort,1513.69,2.5,UAE,2025-12-20,263.0,3225
1478,Johnson PLC,Business,101.27,2.6,Germany,2024-08-29,97.0,1840
1479,Brooks-Boyer,Boutique,923.62,1.7,France,2023-07-02,46.0,2420
1480,Rollins-Hardin,Hostel,1662.63,3.6,Australia,2025-11-05,348.0,4216
1481,Vazquez and Sons,Boutique,1899.81,3.7,UK,2024-03-10,76.0,1966
1482,"Mcbride, Smith and Adams",Hostel,1374.92,1.8,Australia,2025-12-25,369.0,2307
1483,Burke-Ellison,Business,748.4,2.0,Germany,2024-03-13,,1973
1484,Hoffman-Price,Hostel,829.17,3.9,Australia,2025-09-07,200.0,4617
1485,"Ramirez, Reynolds and Kennedy",Resort,1792.98,2.1,Australia,2024-01-31,123.0,3576
1486,Tucker Ltd,Resort,1464.42,2.5,UK,2024-04-03,65.0,647
1487,Friedman-Woodard,,1158.19,4.7,Japan,2025-05-04,95.0,3269
1488,Acosta Inc,Boutique,625.11,1.5,Germany,24/10/2010,142.0,1119
1489,"Rodgers, Johnson and Jones",Luxury,788.07,2.1,Japan,2025-11-17,127.0,1289
1490,Solis-Anderson,Business,450.58,2.8,UAE,2024-11-28,116.0,854
1491,Farrell-Howard,,1469.82,3.1,Australia,2025-10-19,62.0,650
1492,Lopez-Watson,Boutique,338.14,4.9,Japan,2025-01-19,456.0,4140
1493,Webster PLC,Hostel,1011.17,1.8,France,2025-12-14,347.0,207
1494,Johns-Lewis,Hostel,468.45,2.8,usa,2024-12-21,209.0,1542
1495,,Luxury,121.88,3.8,France,2025-01-17,33.0,201
1496,"Freeman, Hinton and Strong",Hostel,101.64,2.9,France,2024-09-06,96.0,2619
1497,"Snyder, Petersen and Foster",Resort,,4.9,UK,2024-05-14,204.0,4334
1498,Garrett-Newton,Budget,420.97,3.5,Australia,2025-10-22,201.0,1441
1499,,Boutique,1716.21,2.4,Australia,2025-03-03,458.0,1746
1500,Thomas-Morales,Hostel,902.11,1.8,FRANCE,2024-10-26,148.0,2978
1501,Willis-Miller,Budget,474.24,2.7,FRANCE,2023-05-28,,3253
1502,,Luxury,796.51,4.8,FRANCE,2024-11-06,103.0,3122
1503,,Resort,1300.27,4.9,Germany,2023-04-16,287.0,1498
1504,"Ray, Flores and Raymond",Hostel,1423.68,4.4,UAE,2023-03-26,386.0,2151
1505,"Salazar, Harris and Williams",Budget,1965.47,1.6,FRANCE,01/10/1970,312.0,2392
1506,"Scott, Cabrera and Orr",Hostel,1145.16,3.7,France,2025-01-09,208.0,468
1507,Martinez LLC,Business,1322.5,2.0,india,2023-03-20,438.0,939
1508,Wolf-Stewart,Resort,1660.52,,Australia,2025-06-28,157.0,999
1509,"Padilla, Roberts and Rubio",,1556.29,3.6,FRANCE,2026-02-11,118.0,4676
1510,Benson and Sons,Luxury,575.39,2.4,Japan,2024-02-10,480.0,551
1511,Hill Ltd,Luxury,1539.86,2.3,Japan,28/02/1974,47.0,4720
1512,Perez Ltd,Business,1008.4,1.2,USA,2024-09-08,,1382
1513,Rodriguez Ltd,,1007.38,3.6,France,2024-02-29,293.0,1995
1514,Sims-Ramirez,Resort,1146.06,1.1,FRANCE,2024-05-16,219.0,4018
1515,"Cruz, Brady and Baldwin",Budget,1314.51,1.1,Australia,2025-11-14,274.0,3892
1516,"Miller, Kelly and Conrad",Hostel,1883.19,4.6,Japan,2024-06-04,323.0,3131
1517,"Morrison, Floyd and Berger",Hostel,1169.09,1.9,France,27/09/1970,36.0,2883
1518,"Ritter, Scott and Orozco",Resort,587.09,4.2,Japan,2026-01-18,1.0,1149
1519,"Bolton, Cardenas and Smith",Business,1532.16,2.2,india,2024-11-29,454.0,729
1520,Williams-White,Resort,96.54,1.1,UAE,2025-01-13,113.0,3852
1521,Ryan Ltd,Business,1244.42,2.8,UK,2024-06-25,184.0,1125
1522,Kelley Group,Luxury,1199.32,1.7,Australia,2024-11-03,237.0,3387
1523,Bush-Chan,Luxury,1239.74,3.5,FRANCE,2023-05-24,314.0,3223
1524,"Daniels, Molina and Andrews",Budget,680.9,4.6,Japan,2025-11-21,132.0,597
1525,"Perez, Hernandez and Carey",Boutique,1190.5,2.0,Japan,2026-02-05,116.0,4709
1526,Cox-King,Boutique,1678.44,1.7,Germany,07/07/2022,216.0,1051
1527,Hernandez PLC,Boutique,1080.36,3.1,Japan,2024-08-25,496.0,65
1528,"Mckay, Daniels and Johnson",Luxury,256.83,1.2,Australia,2023-04-10,179.0,1578
1529,Peck Ltd,Business,1183.64,1.5,Germany,04/04/1988,291.0,3545
1530,"Mcdonald, Cole and Grant",Hostel,1146.15,1.6,Australia,2023-05-03,105.0,3780
1531,Obrien-Richardson,Hostel,404.92,3.5,india,2025-09-23,221.0,646
1532,Carey-Koch,Business,1118.52,3.8,UAE,2024-07-09,115.0,4440
1533,,Budget,832.57,4.0,USA,2023-11-18,235.0,2398
1534,Johnson LLC,Luxury,1336.67,2.7,UAE,2025-07-24,15.0,267
1535,Williamson-Smith,Business,1797.46,2.1,usa,2024-04-16,413.0,734
1536,Harris Group,Business,549.09,2.2,Australia,2024-08-29,407.0,3003
1537,Smith-Brown,Boutique,861.58,2.8,Australia,2024-10-29,389.0,1306
1538,"Lewis, Rollins and Martinez",Boutique,48.36,-1.0,UAE,2025-12-05,105.0,81
1539,"Collins, Foster and Lopez",Resort,1476.1,4.6,india,2024-06-05,225.0,3496
1540,Payne-Andrews,Business,1504.33,3.6,Germany,2024-09-06,89.0,1890
1541,"Stanley, Smith and Shelton",Resort,87.22,4.7,France,05/06/2007,235.0,557
1542,"Mejia, Flynn and Reynolds",Luxury,1443.87,3.6,France,2025-07-28,30.0,3599
1543,Williams PLC,Business,1106.54,4.8,india,2025-04-07,165.0,2133
1544,Gill Group,Budget,128.59,3.2,FRANCE,2023-08-05,404.0,3843
1545,"Wise, Green and Reese",Luxury,653.82,,Australia,2025-01-21,145.0,2086
1546,Doyle-Goodwin,Budget,1265.59,4.1,UK,2024-06-15,44.0,704
1547,Santana Ltd,Boutique,,4.9,FRANCE,2025-07-28,315.0,409
1548,Henry Group,Resort,1730.02,3.8,Germany,2025-09-12,301.0,2062
1549,"Jones, Brady and Burke",Luxury,370.15,3.0,UAE,2025-12-01,286.0,3722
1550,,Budget,770.09,2.3,Japan,2024-04-15,436.0,1575
1551,Taylor LLC,,428.64,2.2,USA,2025-12-20,256.0,4166
1552,Chavez-Cummings,BUDGET,,4.4,usa,2025-11-27,351.0,2861
1553,"Sanders, Collins and Johnston",Hostel,537.04,1.7,UAE,2023-05-17,486.0,4896
1554,Miller-Cooper,Resort,964.11,1.6,Australia,2026-02-19,,659
1555,"Benjamin, Andrews and Manning",Boutique,1318.62,4.7,France,2025-03-08,166.0,3362
1556,Reilly-Campbell,Hostel,822.38,2.9,France,2025-12-01,319.0,2430
1557,Myers-Baker,BUDGET,1336.59,1.1,FRANCE,2024-01-28,371.0,876
1558,Campos-Evans,Luxury,1082.83,3.8,France,2023-05-09,91.0,1243
1559,Riley-Page,Business,1037.38,1.5,Australia,2025-12-03,279.0,3417
1560,Robinson-Zhang,Luxury,1178.21,2.0,FRANCE,2024-01-08,157.0,1094
1561,Simmons and Sons,BUDGET,1858.3,3.0,FRANCE,2025-10-16,267.0,2681
1562,Frederick-Acevedo,Business,816.61,4.0,usa,2024-04-13,152.0,1476
1563,Wagner-Warren,Budget,410.82,,UK,13/04/2025,130.0,4357
1564,Hawkins-Webb,Resort,1836.56,4.4,UK,2025-09-25,229.0,1256
1565,Garrett-Mccall,Boutique,1390.59,1.6,Germany,2024-01-15,30.0,1796
1566,"Lane, Steele and Horton",,1421.27,2.4,Germany,2023-05-23,100.0,4456
1567,"Smith, Nelson and Howard",,,2.1,FRANCE,2025-12-10,1.0,2910
1568,Raymond Inc,Boutique,1563.36,1.2,india,2024-02-19,84.0,3746
1569,Carter Group,Budget,1986.1,4.5,usa,2024-06-29,452.0,1669
1570,"Jimenez, Fisher and Lamb",Luxury,1280.95,4.9,UAE,2023-07-04,127.0,3555
1571,Randall-Collins,Luxury,1337.73,1.8,Germany,2023-07-06,345.0,4428
1572,Morse and Sons,Budget,1212.17,3.1,Australia,2024-09-25,482.0,162
1573,Gallagher-Ingram,Luxury,862.31,2.5,usa,2024-09-25,479.0,4409
1574,Jackson-Jefferson,Budget,1253.7,2.8,UAE,2024-05-08,356.0,906
1575,"Shepherd, Miller and Coleman",Boutique,1095.81,3.6,France,2023-03-25,,1234
1576,"Murphy, Banks and Brandt",Resort,1534.53,2.4,UK,2025-04-28,158.0,4155
1577,"Salazar, Moore and Nguyen",Business,567.47,3.5,india,2024-01-30,297.0,4979
1578,Blevins Group,Boutique,1192.82,1.3,india,2024-03-18,12.0,4607
1579,Brown Group,Hostel,532.17,3.5,usa,2025-03-29,489.0,4170
1580,Johnson LLC,Business,940.23,2.8,Australia,2024-08-18,275.0,4368
1581,"Frederick, Gomez and Harris",Boutique,,1.0,usa,2024-12-15,413.0,3231
1582,Ali LLC,Luxury,304.9,2.6,Japan,2023-11-01,10.0,4459
1583,Munoz LLC,Boutique,466.24,3.2,FRANCE,2025-10-07,22.0,2702
1584,"Holmes, Gray and Willis",Budget,1481.68,4.4,UK,2024-07-18,444.0,1937
1585,"Miles, Roberts and Ferguson",Business,123.07,3.7,UAE,2025-10-16,304.0,4886
1586,"Collins, Anderson and Miller",Business,221.27,3.3,india,2023-06-28,460.0,2410
1587,Mcclain-Ramirez,Resort,1827.16,3.1,France,2023-04-10,18.0,255
1588,"Stewart, Petty and Parker",Hostel,484.92,2.2,Japan,2023-04-02,23.0,3222
1589,"Miller, Huerta and Diaz",Boutique,819.71,1.7,USA,2025-04-13,65.0,957
1590,Hogan-Cooke,Resort,1866.9,1.7,France,2024-09-28,,1932
1591,Steele Group,Resort,539.48,4.6,Japan,2023-04-19,167.0,3050
1592,Savage-Galvan,Luxury,1641.03,2.3,india,2024-08-16,148.0,2728
1593,Villarreal-Hill,Boutique,1489.81,3.6,UK,2023-09-24,368.0,3869
1594,Rice-Boyd,Resort,868.43,3.6,Germany,2023-09-04,365.0,2631
1595,Murphy Ltd,Business,1688.15,4.4,UK,2025-06-16,168.0,4007
1596,Johnson-Williamson,Business,1072.31,2.5,usa,2025-02-14,158.0,2205
1597,"Skinner, Phillips and Bridges",Business,616.2,3.9,Japan,2024-01-21,237.0,975
1598,Aguirre and Sons,Boutique,542.12,3.4,USA,2026-02-05,274.0,248
1599,Carter-Combs,Luxury,165.24,4.3,FRANCE,2024-02-04,219.0,306
1600,Robertson-Carter,Boutique,1594.98,2.9,USA,2024-10-23,95.0,2588
1601,Callahan-Pearson,Hostel,673.63,4.7,Germany,2024-09-22,263.0,409
1602,Paul and Sons,Resort,400.34,2.5,UK,2024-10-24,194.0,1331
1603,"Nguyen, Anderson and Shaw",Business,1632.86,3.4,Japan,2026-02-13,221.0,2146
1604,Stewart-Rocha,Boutique,87.12,99.0,FRANCE,2025-10-10,117.0,4730
1605,"Taylor, Dunn and Robinson",Hostel,352.54,3.2,UAE,2025-10-16,148.0,1394
1606,Smith-Estrada,Boutique,616.16,4.6,usa,2024-06-22,225.0,1398
1607,"Reynolds, Cervantes and Young",Resort,1428.66,3.1,FRANCE,2023-03-26,27.0,1467
1608,Parsons-Neal,Hostel,1330.86,3.5,UK,2025-12-23,277.0,1536
1609,Price PLC,Luxury,1854.67,3.1,Japan,2023-04-06,405.0,2178
1610,Jones-Moran,Budget,800.7,1.3,Germany,2025-10-07,258.0,2799
1611,Krueger LLC,Luxury,1231.22,4.3,UK,2024-04-14,296.0,93
1612,,Hostel,1933.16,3.5,France,2023-06-11,296.0,384
1613,Walsh-Horne,Resort,465.39,1.4,Australia,2024-02-17,11.0,3806
1614,,Business,1356.47,,UK,2023-04-18,300.0,653
1615,Davis LLC,Boutique,635.53,2.3,UK,2025-04-25,294.0,483
1616,"Alvarado, Cox and Hill",Luxury,1442.84,-1.0,USA,2025-06-20,366.0,3776
1617,"Neal, Mendoza and Jensen",Hostel,1075.93,4.0,France,2025-05-23,354.0,2856
1618,"Ortega, Chambers and Pruitt",Budget,1603.0,1.0,Australia,2024-10-26,385.0,3524
1619,"Carter, Roach and Williams",Hostel,1311.8,4.3,Germany,2024-06-30,183.0,2840
1620,Martinez Group,Budget,1367.32,99.0,FRANCE,2025-03-15,94.0,3743
1621,"Miller, Wade and Chaney",Hostel,39.23,2.2,FRANCE,2024-07-11,132.0,562
1622,Kemp PLC,Luxury,1402.24,2.3,Germany,2024-04-03,326.0,2454
1623,Davis LLC,Luxury,,3.2,France,2024-04-28,136.0,1169
1624,Steele-Novak,Boutique,548.7,2.1,UK,2024-08-04,304.0,2596
1625,David Inc,Boutique,854.23,3.8,usa,2025-01-03,2.0,4666
1626,"Thomas, Steele and Allen",Business,1033.02,4.5,Australia,2023-03-22,426.0,2692
1627,Fox LLC,Resort,553.79,3.6,UAE,2025-09-07,62.0,865
1628,Bolton-Mclean,Hostel,99.18,1.8,FRANCE,2024-10-20,260.0,4042
1629,"Barnes, Jensen and Jarvis",Business,468.22,2.6,india,2024-06-11,49.0,1905
1630,"Benjamin, Wolf and Brown",Luxury,717.74,3.5,UAE,2024-04-02,66.0,3243
1631,Garcia-Marshall,Luxury,163.61,4.4,Germany,2024-02-09,371.0,2917
1632,Campbell LLC,Business,141.5,3.8,Japan,2024-03-19,139.0,3041
1633,Mccoy LLC,Luxury,980.96,1.4,France,2023-10-13,488.0,3814
1634,"Baxter, Sanders and Rodriguez",Budget,1966.44,3.3,Germany,2023-08-20,254.0,2445
1635,"Scott, Soto and Carr",,451.55,1.4,usa,2023-11-26,196.0,4307
1636,Montgomery-Lopez,Resort,,2.8,France,2024-10-16,399.0,287
1637,"Wright, Reed and Wheeler",Resort,845.79,3.3,Germany,2025-11-26,16.0,81
1638,"Rodriguez, Price and Edwards",Luxury,509.49,4.2,USA,13/04/1987,316.0,3780
1639,Perez Ltd,BUDGET,214.24,4.3,usa,06/02/1987,453.0,619
1640,George PLC,Luxury,530.16,3.8,Japan,2024-11-13,254.0,908
1641,Holland-Adams,Luxury,42.39,2.0,USA,2024-09-21,116.0,2470
1642,Ortiz and Sons,Budget,212.9,1.6,France,2023-09-18,387.0,674
1643,Smith-Richard,Hostel,,4.0,india,2024-11-29,93.0,3078
1644,"Kennedy, Ayala and Macdonald",Hostel,652.14,1.5,UAE,2023-05-01,419.0,2458
1645,,Budget,709.54,3.3,Australia,2024-01-17,,866
1646,Clark and Sons,Boutique,1687.94,2.7,UAE,2024-10-11,376.0,4969
1647,Kelly LLC,Boutique,1761.25,3.7,France,2025-01-10,31.0,79
1648,Miles-Flowers,Luxury,484.52,3.2,UK,2025-04-11,17.0,4019
1649,"Munoz, Hogan and Ortiz",Resort,129.19,3.9,FRANCE,2024-07-23,483.0,1651
1650,Miller-Gardner,Budget,1959.91,2.1,UAE,2025-11-04,21.0,4130
1651,"Robbins, Park and Russo",Resort,880.44,4.4,France,2025-07-04,381.0,4027
1652,Maldonado-King,Business,32.94,1.9,USA,08/03/2003,193.0,2037
1653,"Kelly, Jennings and Scott",Resort,249.12,,FRANCE,2023-11-01,47.0,993
1654,"Butler, Cooke and Gallagher",,1705.28,4.0,France,2025-04-14,254.0,1651
1655,Rodriguez-Green,Boutique,1167.02,3.9,USA,2025-07-19,376.0,2759
1656,Christian PLC,Boutique,1999.95,1.2,USA,2025-03-26,498.0,4829
1657,Morales LLC,Luxury,1454.33,2.8,UK,2023-08-08,48.0,4949
1658,Brown PLC,Boutique,1159.46,1.6,USA,2025-05-27,435.0,98
1659,Walsh-White,Business,89.04,4.8,usa,2025-05-29,456.0,2239
1660,Lewis LLC,Luxury,1114.56,3.6,USA,2024-02-28,277.0,750
1661,Barnes-Cook,Budget,1205.03,4.9,France,2023-09-30,18.0,4348
1662,"Lawson, Johnson and Garcia",Hostel,297.81,4.7,Germany,2024-08-11,477.0,1820
1663,Valentine Group,luxury,216.56,4.8,FRANCE,2025-04-23,60.0,3429
1664,Crane-Herrera,Business,65.26,4.6,UK,2024-07-14,309.0,1416
1665,Estrada Inc,Luxury,1136.27,2.8,USA,2023-06-08,465.0,1439
1666,Copeland PLC,Hostel,721.17,3.6,Japan,2025-05-30,6.0,4077
1667,Campbell LLC,Hostel,1515.22,3.9,Japan,2023-08-09,226.0,3432
1668,Evans-Rogers,Luxury,203.58,2.5,Germany,2024-11-22,433.0,1219
1669,"Soto, Dominguez and Young",Luxury,837.37,4.8,UK,2025-06-09,235.0,1501
1670,Gray PLC,Resort,793.23,3.8,UAE,2025-09-29,142.0,627
1671,Bullock-White,Resort,900.74,2.1,usa,2024-12-19,42.0,1307
1672,Ellis and Sons,Luxury,1867.32,2.2,usa,2023-04-28,75.0,1028
1673,Hill Group,Business,1460.33,4.0,FRANCE,2023-11-25,45.0,2754
1674,"Tucker, Baker and Perry",Hostel,352.35,4.1,USA,2024-12-31,142.0,2318
1675,"Gray, Cox and Griffith",Hostel,1001.32,3.2,FRANCE,2025-02-28,439.0,3514
1676,Petersen Inc,Business,1732.08,3.9,FRANCE,2025-04-30,215.0,4397
1677,"Boyd, Brown and Martinez",Luxury,223.73,1.2,UK,2023-10-02,160.0,1606
1678,"Tucker, Garcia and Hansen",Budget,87.74,1.2,usa,2024-05-18,3.0,1963
1679,Cervantes Inc,Boutique,1975.28,1.2,Germany,2023-10-18,424.0,4851
1680,Anderson Ltd,luxury,93.89,-1.0,india,2023-05-30,385.0,4066
1681,David Group,Hostel,119.81,4.5,UAE,2023-11-13,482.0,2906
1682,Mitchell Inc,Luxury,538.99,2.1,india,2024-01-17,187.0,77
1683,Johnson LLC,Business,1074.32,1.1,France,2024-06-21,429.0,3634
1684,,Resort,140.79,1.4,UAE,2025-04-01,,4194
1685,"Wilson, Bridges and Duran",Budget,429.52,4.0,UAE,2025-10-20,62.0,4386
1686,"Walker, Tapia and Lee",Resort,1132.53,4.6,France,2023-08-10,345.0,4497
1687,Watkins-Robinson,Boutique,,2.0,Japan,2024-04-11,110.0,3237
1688,"Gutierrez, Green and Black",Resort,1585.0,3.7,UAE,2024-05-06,133.0,3263
1689,,Hostel,160.6,1.5,usa,2025-06-16,187.0,1163
1690,"Williamson, Johnson and Marshall",Resort,1652.2,1.0,USA,2024-06-30,482.0,4281
1691,"Edwards, Wright and Romero",Budget,1398.83,4.5,usa,2025-11-22,150.0,4123
1692,,Luxury,1213.35,4.3,Australia,2024-02-21,,826
1693,Garcia Inc,Business,1437.18,3.8,UAE,2023-04-22,342.0,2703
1694,Rocha-Shaw,Business,,4.0,india,2025-01-16,80.0,4018
1695,"Campos, Harper and Pope",Luxury,516.16,4.0,UK,2025-12-16,464.0,3678
1696,Anderson LLC,Budget,1537.2,1.4,Australia,2025-04-24,481.0,373
1697,Stokes-Mcdonald,Budget,67.16,2.2,Australia,2025-03-02,237.0,3838
1698,"Martin, Ford and Stewart",Luxury,150.46,1.5,UAE,2025-02-15,247.0,4354
1699,Anderson LLC,Hostel,222.47,4.9,FRANCE,30/05/2004,227.0,2428
1700,"Santiago, Kelley and Nguyen",Business,1353.29,1.6,France,2024-04-28,202.0,4326
1701,"Mccoy, Johnson and Davis",Boutique,621.51,-1.0,UAE,2024-07-15,,3090
1702,Anderson-Bender,Hostel,696.37,4.9,UAE,2024-03-18,184.0,4945
1703,"Fox, Mann and Huffman",Boutique,1226.54,3.7,USA,2023-11-13,480.0,4287
1704,Beard PLC,Luxury,1566.94,2.0,Australia,2026-02-03,484.0,4947
1705,"Landry, Mccoy and Baker",Hostel,1812.47,2.8,Japan,2025-05-18,350.0,2635
1706,Hendrix and Sons,Boutique,1014.63,2.0,UAE,2023-08-31,442.0,226
1707,Peck-Ho,Budget,1724.82,1.5,Germany,2023-04-26,90.0,1206
1708,Ayers-Thompson,Resort,1312.96,3.4,india,2025-06-15,400.0,2412
1709,Jordan-Hansen,Business,1118.4,1.9,Australia,2025-01-02,218.0,4739
1710,"Jackson, Richards and Hill",Budget,,2.7,usa,2023-05-26,,2180
1711,"Lucas, Duncan and Edwards",Luxury,1106.34,2.8,USA,2024-06-14,42.0,3277
1712,"Hall, Knapp and Roberts",Business,1884.48,1.8,France,2025-11-06,130.0,2290
1713,Smith-Jordan,Resort,578.92,4.9,FRANCE,29/11/2006,289.0,266
1714,"Forbes, Smith and Freeman",Luxury,719.09,4.3,FRANCE,2024-07-19,113.0,4953
1715,"Anderson, Taylor and Wallace",Resort,1726.52,3.3,UAE,2024-12-07,153.0,4613
1716,Robinson LLC,Hostel,808.41,1.7,France,2023-06-05,106.0,4817
1717,"Collier, Ellis and Santiago",Business,,3.0,FRANCE,2025-04-20,215.0,4056
1718,"Mcguire, Gonzales and Crawford",Luxury,1104.91,4.7,usa,2025-03-09,305.0,380
1719,Perkins-Hamilton,Business,499.25,-1.0,FRANCE,2024-12-24,,1844
1720,"Taylor, Young and Morales",Budget,42.92,2.4,USA,2024-03-30,334.0,2714
1721,Murphy-Silva,Hostel,695.16,3.9,USA,2023-05-16,259.0,4541
1722,"Jimenez, Hood and Gaines",Boutique,1558.26,1.6,Germany,2025-12-05,219.0,1083
1723,Williams Group,Hostel,1999.65,1.5,Japan,2023-12-27,451.0,4749
1724,"White, Bartlett and Gomez",Resort,1752.89,1.5,USA,2025-09-25,255.0,3288
1725,"Miller, Williams and Barnett",Business,159.17,99.0,usa,2024-05-01,48.0,4639
1726,"Haynes, Whitehead and Nguyen",Luxury,386.2,3.8,UK,2026-03-02,206.0,1049
1727,Holmes and Sons,Business,1710.5,2.6,UAE,2025-04-13,360.0,208
1728,Flynn-Conley,Budget,,1.6,FRANCE,2024-07-09,71.0,2215
1729,Townsend-Young,Business,1724.32,2.3,Japan,2023-07-27,52.0,4766
1730,"Barry, Ortiz and Torres",Luxury,899.98,2.8,France,2026-01-01,65.0,3066
1731,Krueger-Rivers,Luxury,495.45,3.5,Australia,2024-07-05,57.0,4839
1732,Johnson Inc,,111.65,2.5,usa,2023-05-26,121.0,1393
1733,"Ramsey, Burns and Steele",Luxury,1246.5,2.4,FRANCE,2025-05-19,141.0,469
1734,Cross-Perez,Business,1074.9,3.2,Australia,2024-09-15,245.0,1105
1735,"Anderson, Sullivan and Benjamin",Business,276.9,1.7,Japan,2024-04-16,327.0,2612
1736,"Brown, Williams and Jefferson",Budget,370.05,1.0,UK,2025-06-25,408.0,3323
1737,"Williams, Anderson and Lewis",Budget,401.74,4.5,USA,2023-05-15,406.0,1331
1738,Johnson and Sons,Boutique,52.55,,UAE,2025-02-21,228.0,325
1739,"Myers, Prince and Mack",Business,133.65,2.7,France,2023-08-25,332.0,322
1740,Watts Group,Hostel,1162.59,4.1,FRANCE,2025-07-15,153.0,3798
1741,Knox-Bennett,Luxury,857.15,,France,2023-12-30,165.0,3276
1742,Wade and Sons,Resort,138.14,4.5,UAE,2025-01-01,366.0,2899
1743,Payne LLC,Budget,864.61,2.7,France,2023-04-14,106.0,1623
1744,Ward and Sons,Boutique,1433.73,2.2,Germany,2025-07-24,142.0,2356
1745,Dillon Ltd,Resort,1792.68,2.9,UAE,2023-03-15,217.0,1707
1746,"Mann, Krueger and Johnson",Luxury,1763.6,2.9,Australia,2024-09-26,11.0,708
1747,Cross Inc,Budget,1403.75,99.0,Japan,2023-11-22,137.0,2189
1748,George-Henry,Business,690.42,4.3,usa,2023-05-09,6.0,1355
1749,Green-Castro,Hostel,1688.87,3.2,USA,2024-10-26,102.0,4224
1750,Kane-Cuevas,Luxury,36.33,3.0,Australia,2025-03-23,380.0,2194
1751,Nunez-Sandoval,Business,1218.71,1.1,Germany,2024-12-10,345.0,3500
1752,"Harris, Sexton and Young",Resort,608.39,4.8,FRANCE,2023-09-15,27.0,3245
1753,Johnson-Valdez,Hostel,722.26,4.6,india,2024-12-14,387.0,1915
1754,Harris-Gomez,Luxury,614.96,3.1,FRANCE,2025-12-07,481.0,489
1755,Green Inc,Boutique,51.85,2.3,india,2025-08-15,198.0,167
1756,"Fernandez, Nelson and Mcintyre",Resort,,1.9,Germany,2023-03-03,304.0,4171
1757,,Resort,73.84,3.8,UK,2025-11-01,377.0,1502
1758,Flores Ltd,Boutique,1558.92,4.1,india,2023-07-08,169.0,1786
1759,Cruz-Molina,Luxury,1510.32,1.8,France,2025-05-27,445.0,4126
1760,"Thompson, Taylor and Huerta",BUDGET,1286.23,4.4,Japan,2024-06-25,61.0,3730
1761,Sanders-Calhoun,Hostel,1103.78,3.9,USA,2024-07-23,430.0,501
1762,Weeks-Palmer,Hostel,59.22,4.2,usa,2024-02-11,430.0,656
1763,"Taylor, Cannon and Sawyer",Budget,1136.85,2.3,Germany,2025-10-26,47.0,3748
1764,Campbell Inc,Business,368.08,1.6,Germany,2023-06-07,352.0,1920
1765,Williams-Vaughn,Business,1979.45,1.1,Japan,2023-07-02,215.0,3683
1766,Howard-Campbell,Boutique,1091.06,2.5,usa,2025-07-14,140.0,1900
1767,Williams-Walker,Hostel,1629.09,4.1,UK,2025-07-10,213.0,3862
